Date,Writing,Notes (Writing),Didn’t spend frivolously (3 month goal),Notes (Didn’t spend frivolously (3 month goal)),Didn’t order out,Notes (Didn’t order out),Meditating,Notes (Meditating),Exercising / 10K Steps,Notes (Exercising / 10K Steps),Time Outdoors (3x week),Notes (Time Outdoors (3x week)),Community,Notes (Community),Read,Notes (Read),Take Vitamins,Notes (Take Vitamins),Journaling,Notes (Journaling)
2018-01-22,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-01-23,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-01-24,-,-,-,-,-,-,Green,-,Blue,Rest,-,-,-,-,-,-,Green,-,-,-
2018-01-25,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-01-26,-,-,-,-,-,-,Red,-,Blue,"Rest day. 

Completely exhausted. Needed to sleep in",-,-,-,-,-,-,Green,-,-,-
2018-01-27,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-01-28,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-01-29,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-01-30,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-01-31,-,-,-,-,-,-,Red,-,Green,Resting upper body,-,-,-,-,-,-,Green,-,-,-
2018-02-01,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-02-02,-,-,-,-,-,-,Red,-,Blue,Rest day. Moved Andrea day prior,-,-,-,-,-,-,Green,-,-,-
2018-02-03,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-02-04,-,-,-,-,-,-,Red,-,Blue,Rest day. Arms needed time off after moving Andrea.,-,-,-,-,-,-,Green,-,-,-
2018-02-05,-,-,-,-,-,-,Red,-,Green,Stretching morning,-,-,-,-,-,-,Green,-,-,-
2018-02-06,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-02-07,-,-,-,-,-,-,Red,-,Green,Push-ups and stretching. Slept horribly. Body does not want.,-,-,-,-,-,-,Green,-,-,-
2018-02-08,-,-,-,-,-,-,Red,-,Blue,Got the flu,-,-,-,-,-,-,Blue,Sick with flu,-,-
2018-02-09,-,-,-,-,-,-,Red,-,Blue,Sick with flu,-,-,-,-,-,-,Blue,Still sick with flu,-,-
2018-02-10,-,-,-,-,-,-,Red,-,Blue,Still sick,-,-,-,-,-,-,Green,-,-,-
2018-02-11,-,-,-,-,-,-,Green,-,Blue,Still sick,-,-,-,-,-,-,Green,-,-,-
2018-02-12,-,-,-,-,-,-,Green,-,Blue,Still congested 😭,-,-,-,-,-,-,Green,-,-,-
2018-02-13,-,-,-,-,-,-,Green,-,Green,Stretching and a couple pull ups. Still under the weather,-,-,-,-,-,-,Green,-,-,-
2018-02-14,-,-,-,-,-,-,Green,-,Green,"1 x 10 push ups
1 x 3 chin ups
1 x 3 pull ups
1 x 8 bend leg lifts
Stretching.",-,-,-,-,-,-,Green,-,-,-
2018-02-15,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-02-16,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-02-17,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-02-18,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-02-19,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-02-20,-,-,-,-,-,-,Green,-,Green,Stretching only,-,-,-,-,-,-,Green,-,-,-
2018-02-21,-,-,-,-,-,-,Green,-,Green,Stretching only,-,-,-,-,-,-,Green,-,-,-
2018-02-22,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-02-23,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-02-24,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-02-25,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-02-26,-,-,-,-,-,-,Green,-,Green,Stretching only,-,-,-,-,-,-,Green,-,-,-
2018-02-27,-,-,-,-,-,-,Green,-,Green,Stretching and a set of hanging leg curls,-,-,-,-,-,-,Green,-,-,-
2018-02-28,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-01,-,-,-,-,-,-,Green,-,Blue,Light stretching. Routine interrupted by no toilet paper.,-,-,-,-,-,-,Green,-,-,-
2018-03-02,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-03,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-04,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
