Date,Writing,Notes (Writing),Didn’t spend frivolously (3 month goal),Notes (Didn’t spend frivolously (3 month goal)),Didn’t order out,Notes (Didn’t order out),Meditating,Notes (Meditating),Exercising / 10K Steps,Notes (Exercising / 10K Steps),Time Outdoors (3x week),Notes (Time Outdoors (3x week)),Community,Notes (Community),Read,Notes (Read),Take Vitamins,Notes (Take Vitamins),Journaling,Notes (Journaling)
2021-06-27,-,-,-,-,-,-,Green,-,Blue,Rest day.,-,-,-,-,-,-,Green,-,-,-
2021-06-28,-,-,-,-,-,-,Green,-,Blue,Way too hot in apartment,-,-,-,-,-,-,Green,-,-,-
2021-06-29,-,-,-,-,-,-,Green,-,Green,Stretching,-,-,-,-,-,-,Green,-,-,-
2021-06-30,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
7 push-ups
20 kettlebell swings
10 curls to overhead lifts (per arm)
10 squats
30s hang with shoulder flexing last 15s knee lifts",-,-,-,-,-,-,Green,-,-,-
2021-07-01,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
7 push-ups
20 kettlebell swings
10 curls to overhead lifts (per arm)
10 squats",-,-,-,-,-,-,Green,-,-,-
2021-07-02,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-07-03,-,-,-,-,-,-,Green,-,Green,Mobility stretches,-,-,-,-,-,-,Green,-,-,-
2021-07-04,-,-,-,-,-,-,Green,-,Green,Hour long walk,-,-,-,-,-,-,Green,-,-,-
2021-07-05,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-07-06,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-07-07,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-07-08,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-07-09,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Blue,-,Green,-,-,-
2021-07-10,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Blue,-,Green,-,-,-
2021-07-11,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Blue,-,Green,-,-,-
2021-07-12,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-07-13,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-07-14,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-07-15,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-07-16,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-07-17,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Blue,-,Green,-,-,-
2021-07-18,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Blue,-,Green,-,-,-
2021-07-19,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Blue,-,Green,-,-,-
2021-07-20,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-07-21,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-07-22,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-07-23,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-07-24,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
6 push-ups
30 kettlebell swings
10 curls to overhead lifts (per arm)
10 kettlebell rows arm
10 chest press per arm",-,-,-,-,Green,-,Green,-,-,-
2021-07-25,-,-,-,-,-,-,Green,-,Blue,Rest day - stretching,-,-,-,-,Green,-,Green,-,-,-
2021-07-26,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
Walk/jog",-,-,-,-,Green,-,Green,-,-,-
2021-07-27,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-07-28,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
7 push-ups
30 kettlebell swings
10 curls to overhead lifts (per arm)
10 kettlebell rows arm
10 chest press per arm",-,-,-,-,Green,-,Green,-,-,-
2021-07-29,-,-,-,-,-,-,Green,-,Green,Walk,-,-,-,-,Green,-,Green,-,-,-
2021-07-30,-,-,-,-,-,-,Green,-,Green,"Mobility stretches
6 push-ups
30 kettlebell swings
10 curls to overhead lifts (per arm)
15 kettlebell rows arm
10 chest press per arm
10 kettlebell squats",-,-,-,-,Green,-,Green,-,-,-
2021-07-31,-,-,-,-,-,-,Green,-,Green,Stretch and walk/jogging,-,-,-,-,Green,-,Green,-,-,-
2021-08-01,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-02,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-03,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-04,-,-,-,-,-,-,Green,-,Green,"Stretching
30 kettlebell swings 
Not well rested taking it easy",-,-,-,-,Green,-,Green,-,-,-
2021-08-05,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-06,-,-,-,-,-,-,Green,-,Green,Photo walk,-,-,-,-,Green,-,Green,-,-,-
2021-08-07,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-08,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-09,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-10,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-11,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-12,-,-,-,-,-,-,Green,-,Green,"Stretching
30 kettlebell swings
10 curls
15 rows
15 over head lifts
15 chest lifts",-,-,-,-,Green,-,Green,-,-,-
2021-08-13,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-14,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-15,-,-,-,-,-,-,Green,-,Green,Very long walk,-,-,-,-,Green,-,Green,-,-,-
2021-08-16,-,-,-,-,-,-,Green,-,Green,Short walk,-,-,-,-,Green,-,Green,-,-,-
2021-08-17,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-18,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-19,-,-,-,-,-,-,Green,-,Green,"Stretching
30 kettlebell swings
10 curls
15 rows
15 over head lifts
15 chest lifts
10 squats
10 push-ups
2 sets forward neck stretches",-,-,-,-,Green,-,Green,-,-,-
2021-08-20,-,-,-,-,-,-,Green,-,Green,Stretching and walk,-,-,-,-,Green,-,Green,-,-,-
2021-08-21,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-22,-,-,-,-,-,-,Green,-,Green,Jog / walk,-,-,-,-,Green,-,Green,-,-,-
2021-08-23,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-24,-,-,-,-,-,-,Green,-,Green,"Stretching
30 kettlebell swings
10 curls
15 rows
15 over head lifts
15 chest lifts
10 squats
10 crunches w/ kettle bell
1 sets forward neck stretches",-,-,-,-,Green,-,Green,-,-,-
2021-08-25,-,-,-,-,-,-,Green,-,Green,Short jog / walk,-,-,-,-,Green,-,Green,-,-,-
2021-08-26,-,-,-,-,-,-,Green,-,Green,"Stretching
35 kettlebell swings
15 curls
15 rows
15 over head lifts
15 chest lifts
15 squats
1m v-sit extended leg progression",-,-,-,-,Green,-,Green,-,-,-
2021-08-27,-,-,-,-,-,-,Green,-,Green,Walk / jog,-,-,-,-,Green,-,Green,-,-,-
2021-08-28,-,-,-,-,-,-,Green,-,Blue,Rest day,-,-,-,-,Green,-,Green,-,-,-
2021-08-29,-,-,-,-,-,-,Green,-,Green,Morning walk,-,-,-,-,Green,-,Green,-,-,-
2021-08-30,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-08-31,-,-,-,-,-,-,Green,-,Green,20m walk,-,-,-,-,Green,-,Green,-,-,-
2021-09-01,-,-,-,-,-,-,Green,-,Green,Jog / walk,-,-,-,-,Green,-,Green,-,-,-
2021-09-02,-,-,-,-,-,-,Green,-,Green,"Stretching
30 kettlebell swings
15 curls
15 rows
15 over head lifts
15 chest lifts
10 squats
10 lunges with kettle bell",-,-,-,-,Green,-,Green,-,-,-
2021-09-03,-,-,-,-,-,-,Green,-,Green,Walk,-,-,-,-,Green,-,Green,-,-,-
2021-09-04,-,-,-,-,-,-,Green,-,Blue,Driving day to chalet,-,-,-,-,Green,-,Green,-,-,-
2021-09-05,-,-,-,-,-,-,Green,-,Green,Walk jog,-,-,-,-,Green,-,Green,-,-,-
2021-09-06,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-07,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-08,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-09,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-10,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-11,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-12,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Blue,-,Green,-,-,-
2021-09-13,-,-,-,-,-,-,Green,-,Green,Short walk,-,-,-,-,Green,-,Blue,-,-,-
2021-09-14,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-15,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-16,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-17,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-18,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-19,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-20,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-21,-,-,-,-,-,-,Green,-,Green,2 sets sun salutations,-,-,-,-,Green,-,Green,-,-,-
2021-09-22,-,-,-,-,-,-,Green,-,Green,4 sun salutations,-,-,-,-,Green,-,Green,-,-,-
2021-09-23,-,-,-,-,-,-,Green,-,Green,6 sun salutations,-,-,-,-,Blue,-,Green,-,-,-
2021-09-24,-,-,-,-,-,-,Green,-,Green,8 sun salutations,-,-,-,-,Green,-,Green,-,-,-
2021-09-25,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-26,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Blue,-,Green,-,-,-
2021-09-27,-,-,-,-,-,-,Green,-,Green,Short walk,-,-,-,-,Blue,-,Green,-,-,-
2021-09-28,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,-,-
2021-09-29,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Blue,-,-,-
2021-09-30,-,-,-,-,-,-,Green,-,Green,Short walk,-,-,-,-,Green,-,Blue,-,Blue,-
2021-10-01,-,-,-,-,-,-,Green,-,Green,Short walk,-,-,-,-,Green,-,Blue,-,Green,-
2021-10-02,-,-,-,-,-,-,Green,-,Green,2 sun salutations,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-03,-,-,-,-,-,-,Green,-,Green,Walk around Chinatown,-,-,-,-,Green,-,Blue,-,Green,-
2021-10-04,-,-,-,-,-,-,Green,-,Green,4 sun salutations,-,-,-,-,Green,-,Blue,-,Green,-
2021-10-05,-,-,-,-,-,-,Green,-,Green,"4 sun salutations 
5 incline push-ups
Stretching",-,-,-,-,Green,-,Green,-,Green,-
2021-10-06,-,-,-,-,-,-,Green,-,Green,"4 sun salutations 
5 incline push-ups
Stretching",-,-,-,-,Green,-,Green,-,Green,-
2021-10-07,-,-,-,-,-,-,Green,-,Green,"4 sun salutations 
8 incline push-ups",-,-,-,-,Green,-,Green,-,Green,-
2021-10-08,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Blue,-,Green,-
2021-10-09,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-10,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-10-11,-,-,-,-,-,-,Green,-,Green,2 sun salutations,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-12,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-13,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Blue,-,Green,-
2021-10-14,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-10-15,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-10-16,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-10-17,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-18,-,-,-,-,-,-,Green,15m - counting breaths,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-19,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-10-20,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-21,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-22,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-23,-,-,-,-,-,-,Green,Cut short due to bowel issues,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-24,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-25,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-26,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-10-27,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-28,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-10-29,-,-,-,-,-,-,Green,-,Green,"4 sun salutations 
8 push-ups
Stretching
Thoracic spine stretches",-,-,-,-,Green,-,Green,-,Blue,-
2021-10-30,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-10-31,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,Green,-
2021-11-01,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-11-02,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-11-03,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-04,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-05,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-06,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-07,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-08,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-09,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-10,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-11,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-12,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-13,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-14,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-15,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-16,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-17,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-18,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-19,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-20,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-21,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-22,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-23,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-24,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-25,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-26,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-27,-,-,-,-,-,-,Green,-,Green,20 minute Ba Duan Jin practice,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-28,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-29,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-11-30,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-12-01,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-12-02,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-12-03,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-12-04,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-12-05,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Blue,-,Green,-,Blue,-
2021-12-06,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-12-07,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-12-08,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Blue,-
2021-12-09,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-10,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-11,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-12,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-13,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-14,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-15,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-16,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-17,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-18,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-19,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-20,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-21,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-22,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-23,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-24,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-25,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-26,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-27,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-28,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-29,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-30,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2021-12-31,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,Green,-,Green,-,Green,-
2022-01-01,-,-,-,-,-,-,Green,"2x 10 minutes
Observed a minor anxiety attack in the second",Green,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-01-02,-,-,-,-,-,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-
2022-01-03,-,-,-,-,-,-,Green,-,Green,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-01-04,-,-,-,-,-,-,Green,-,Green,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-01-05,-,-,-,-,-,-,Green,-,Green,-,Blue,-,Red,-,Green,-,Green,-,Green,-
2022-01-06,-,-,-,-,-,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-
2022-01-07,-,-,-,-,-,-,Green,-,Blue,-,Blue,-,Red,-,Green,-,Green,-,Green,-
2022-01-08,-,-,-,-,-,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-
2022-01-09,-,-,-,-,-,-,Green,-,Green,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-01-10,-,-,-,-,Green,-,Green,-,Green,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-01-11,-,-,-,-,Green,-,Green,-,Green,-,Blue,-,Red,-,Green,-,Green,-,Green,-
2022-01-12,-,-,-,-,Green,-,Green,-,Green,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-01-13,-,-,-,-,Red,-,Green,-,Green,-,Blue,-,Green,-,Green,-,Green,-,Green,-
2022-01-14,-,-,-,-,Green,-,Green,-,Green,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-01-15,-,-,-,-,Green,-,Green,-,Green,-,Blue,-,Green,-,Green,-,Green,-,Green,-
2022-01-16,-,-,-,-,Green,-,Green,-,Blue,-,Blue,-,Red,-,Green,-,Green,-,Green,-
2022-01-17,-,-,-,-,Green,-,Green,-,Green,-,Blue,-,Red,-,Green,-,Green,-,Green,-
2022-01-18,-,-,-,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-
2022-01-19,-,-,-,-,Red,-,Green,-,Green,-,Green,-,Red,-,Blue,-,Green,-,Green,-
2022-01-20,-,-,-,-,Green,-,Green,-,Blue,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-01-21,-,-,-,-,Green,-,Green,-,Green,-,Blue,-,Green,-,Green,-,Green,-,Green,-
2022-01-22,-,-,-,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-
2022-01-23,-,-,-,-,Green,-,Green,-,Blue,-,Blue,-,Blue,-,Green,-,Green,-,Green,-
2022-01-24,-,-,-,-,Green,-,Green,-,Green,-,Blue,-,Red,-,Green,-,Green,-,Green,-
2022-01-25,-,-,-,-,Green,-,Green,-,Green,-,Blue,-,Red,-,Green,-,Green,-,Green,-
2022-01-26,-,-,Green,-,Green,-,Green,-,Green,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-01-27,-,-,Green,-,Green,-,Green,-,Blue,-,Blue,-,Green,-,Green,-,Green,-,Green,-
2022-01-28,-,-,Green,-,Green,-,Green,-,Blue,-,Blue,-,Green,-,Green,-,Green,-,Green,-
2022-01-29,-,-,Green,-,Green,-,Green,-,Green,-,Blue,-,Green,-,Green,-,Green,-,Green,-
2022-01-30,-,-,Green,-,Green,-,Green,-,Green,-,Green,-,Blue,-,Green,-,Green,-,Green,-
2022-01-31,-,-,Green,-,Green,-,Green,-,Blue,-,Blue,-,Red,-,Green,-,Green,-,Green,-
2022-02-01,-,-,Green,-,Green,-,Green,-,Green,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-02-02,-,-,Green,-,Green,-,Green,-,Blue,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-02-03,-,-,Green,-,Green,-,Green,-,Green,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-02-04,-,-,Green,-,Red,-,Green,-,Green,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-02-05,-,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-
2022-02-06,-,-,Green,-,Green,-,Green,-,Green,-,Blue,-,Red,-,Green,-,Green,-,Green,-
2022-02-07,-,-,Green,-,Red,-,Green,-,Green,-,Green,-,Red,-,Green,-,Green,-,Green,-
2022-02-08,-,-,Red,-,Green,-,Green,-,Blue,-,Blue,-,Red,-,Green,-,Green,-,Green,-
2022-02-09,-,-,Green,-,Green,-,Green,-,Green,-,Blue,-,Red,-,Green,-,Green,-,Green,-
2022-02-10,-,-,Green,-,Red,-,Green,-,Green,Took a walk in the AM to run errands,Green,-,Red,-,Green,-,Blue,-,Green,-
2022-02-11,-,-,Green,-,Red,-,Green,-,Green,-,Blue,-,Red,-,Green,-,Blue,-,Green,-
2022-02-12,-,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-
2022-02-13,-,-,Green,-,Green,-,Green,-,Blue,-,Blue,-,Red,-,Green,-,Green,-,Green,-
2022-02-14,-,-,Green,-,Green,-,Green,-,Green,-,Green,-,Red,-,Green,-,Blue,-,Green,-
2022-02-15,-,-,Green,-,Green,-,Green,-,Green,Stretching,Blue,-,Blue,-,Green,-,Green,-,Green,-
2022-02-16,-,-,Green,-,Green,-,Green,-,Green,Stretching,Blue,-,Blue,-,Green,-,Blue,-,Green,-
2022-02-17,Green,-,Green,-,Green,-,Green,-,Green,-,Green,-,Blue,-,Green,-,Green,-,Green,-
2022-02-18,Green,-,Green,-,Red,-,Green,-,Green,-,Blue,-,Blue,-,Green,-,Green,-,Green,-
2022-02-19,Green,-,Green,-,Green,-,Green,-,Blue,-,Green,-,Blue,-,Green,-,Green,-,Green,-
2022-02-20,Green,-,Green,-,Green,-,Green,-,Blue,Back still stuck. Will try light stretches as day goes on.,Green,-,Blue,-,Green,-,Green,-,Green,-
2022-02-21,Green,-,Green,-,Green,-,Green,-,Green,Stretching + 18 Clean and Press (per arm). Back still sore so I’m taking it easy.,Green,-,Red,-,Green,-,Green,-,Green,-
